key_0,PATRIMONIO,RESULTEX,ACTIVO_T,PASIVO_T,PATRIMONIO_T,Activo Biológico,Capital Social,Cuentas por Cobrar Comerciales,Cuentas por Cobrar a Relacionadas,Cuentas por Pagar Comerciales,Cuentas por Pagar a Relacionadas,Efectivo y Equivalente de Efectivo,Existencias,Gastos Pagados por Anticipado y Otros Activos,Impuestos por Recuperar,"Inmueble, Maquinaria y Equipo, Neto",Instrumento Financiero Derivados,Instrumentos Financieros Derivados,Inversiónes Mobiliarias,Obligaciones Financieras,Otras Cuenta por Cobrar Largo Plazo,Otras Cuentas por Pagar,Otras Cuentas por Pagar Largo Plazo,Parte Corriente de Activo Biológico,Pasivo por Impuesto a la Renta Diferido,Porcion Corriente de Obligaciones Financieras,Reserva Legal,Resultados Acumulados,Sobregiros Bancarios,ACTIVO_CORR,ACTIVO_NCORR,PASIVO_CORR,PASIVO_NCORR,CxC,INVENTARIOS,CxP,CAPEX,ACT_FIJ,CASH,DEUDA_TOT,Cambios en el Valor Razonable de Activos Biológicos,Costo de Venta - NIC 41,Costo de Ventas,Depr. De Gastos de Administración,Depr. De Gastos de Venta,"Diferencia de Cambio, Neta",Gastos Financieros,Gastos de Administración,Gastos de Venta,Impuesto a la Renta Corriente,Impuesto a la Renta Diferido,Ingresos Financieros,"Instrumentos Financieros, Netos",Otros Gastos,Otros Gastos - NIC 41,Otros Ingresos,Restitución de Derechos Arancelarios,Ventas,uti_bruta,EBIT,EBITDA,EBT,uti_neta,costo_venta,EBDA,ratio_liquidez,ratio_rapido,ratio_cash,deuda_activos,deuda_patrimonio,apalancamiento,cobertura_int,DEUDA_ESTR,CAP_EMPL,mg_ebitda,carga_impositiva,carga_intereses,mg_bruto,mg_neto,mg_operativo,ROA,ROE,ROCE,rotacion_trabajo,rotacion_fijos,rotacion_activos,rotacion_cxc,rotacion_inventarios,rotacion_cxp,dias_inventario,dias_cxc,dias_cxp,ciclo_operativo,ciclo_caja,anos_d_estr,Generacion_T_CAJA,DEUDA_ESTRUCTURAL,deuda_ebitda,ventas12M,utinet12M,EBITDA12M
2018-01-01 00:00:00,236102191.8,25714597.26,459466149.4,197649360.4,261816789.1,92415736.3,69449428.39,89756769.54,781599.38,24989264.65,112561.05,18329754.25,9386873.2,6000321.83,0,132717328.5,1437490.68,0,87952153.44,110972624.7,309479.4,-6226897.06,4400979.86,21816133.62,11625472.94,50018897.98,32752998.29,133899765.1,318965.61,146071451.8,313394697.6,70650282.91,126999077.5,90538368.92,31203006.82,18874928.64,75421168.91,313085218.2,18329754.25,161310488.3,0,-418863.55,-22798033.79,-43290.21,-2121.57,1301804.9,-21212.77,-1068302.07,-3532570.79,0,0,567.07,127943.02,-116268.78,-251380.31,255457.52,1541530.34,50739338.25,29063971.25,24305495.04,24350906.82,25714597.26,25714597.26,-23216897.34,25760009.04,2.067528194,1.625873815,0.259443466,0.351082421,0.616119726,1.754914767,,51577908.56,388815866.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 00:00:00,236102191.8,21832408.14,435731936.9,177797336.9,257934599.9,92345507.02,69449428.39,60948934.32,1164351.35,17481503.41,113699.51,15721074.71,8592858.24,9877818.93,0,132476983.2,1551570.25,0,89718817.53,112110982.3,309829.49,-6976572.07,7391735.24,24575762.11,11625472.94,34264774.54,32752998.29,133899765.1,234170.78,120880799.7,314851137.2,46669146.42,131128190.5,62113285.67,33168620.35,10618630.85,74211653.24,314541307.7,15721074.71,146609927.7,0,-837727.1,-24776385.88,-85857.3,-4243.14,487235.64,-90081.7,-2154203.65,-4323182.44,0,0,1335.39,28609.24,-116373.57,-251380.31,604390.67,1572929.48,51777342.81,27736159.31,21405309.57,21495410.01,21832408.14,21832408.14,-25614112.98,21922508.58,2.590165215,1.87944683,0.336862272,0.336468171,0.568399616,1.689311698,,56916537.27,389062790.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01 00:00:00,236102191.8,4006410.6,397918660.7,157810058.3,240108602.4,92386583.78,69449428.39,24208442.71,1144595.38,12696379.94,116652.94,10494015.79,8791600.86,10297013.2,0,132311864.5,1454761.73,0,89718817.53,111386572.9,307722.67,-7233474.86,7551469.91,28258004.28,11625472.94,20041817.51,34978930.77,131673832.6,170405.27,83193672.22,314724988.5,27246542.53,130563515.8,25353038.09,37049605.14,5579558.02,55947129.69,314417265.8,10494015.79,131598795.7,0,-1256590.65,-25193644.01,-128467.91,-6377.37,1241191.68,-1697639.1,-3545179.12,-4618245.19,0,0,1415.63,115392.23,-116879.35,-251380.31,743884.46,-1171984.52,39890914.13,12268694.95,4346050.16,4480895.44,4006410.6,4006410.6,-26450234.66,4141255.88,3.053366207,1.69357514,0.385150365,0.330717829,0.548080304,1.6572445,,74616386.06,370672118.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01 00:00:00,236102191.8,2104242.02,380879279.5,142672845.7,238206433.8,92290341.8,69449428.39,7076400.68,1168647.27,6986041.43,117081.92,6897853.65,10032283.42,10187523.72,0,132063142.1,1496542.02,0,89718817.53,111800521.2,307242.47,-7741783.87,7540818.67,31137026.79,11625472.94,10623644.89,34978930.77,131673832.6,224506.5,66499735.53,314379543.9,11706032.89,130966812.8,8245047.95,41169310.21,-638660.52,54793702.64,314072301.5,6897853.65,122648672.5,0,-1675454.2,-25586646.98,-171380.14,-8531.65,766571.72,-1842902.26,-4430015.23,-4773378.85,0,0,19259.63,79018.3,-117247.32,-251380.31,803217.72,-1171984.52,40465096.11,12031010.41,3082294.63,3262206.42,2104242.02,2104242.02,-27262101.18,2284153.81,5.680808875,2.163877853,0.589256302,0.322014557,0.514883963,1.598946231,,76173110.12,369173246.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01 00:00:00,226274191.8,-775978.63,389612988.2,164114775,225498213.2,92487475.34,69449428.39,5610094.5,1336077.3,6430530.52,118255.34,12542469.27,11157806.14,10094338.72,0,131700864.5,1186527.19,24405.74,89718817.53,121089887.4,307509.88,-8085027.75,16981522.34,34633129.26,11625472.94,14632154.47,34978930.77,121845832.6,135452.49,75398320.93,314214667.2,14417892.26,149696882.7,6946171.8,45790935.4,-1536241.89,60980428.67,313907157.3,12542469.27,135857494.4,0,-2094317.75,-26243550.92,-215162.45,-10673.48,-454320.19,-1895118.59,-6043905.68,-4941412.83,0,0,19515.24,427768.15,-119038.08,-251380.31,1317002.1,-1171984.52,40900600.68,11390747.49,1126176.76,1352012.69,-775978.63,-775978.63,-28337868.67,-550142.7,5.229496765,2.053516908,0.869923914,0.348698577,0.602477033,1.727787474,,88716454.05,375195095.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01 00:00:00,226274191.8,-2902366.68,394712507.7,171340682.6,223371825.1,92192828.02,69449428.39,4878698.31,1425409.79,7680287.7,118324.63,12859346.18,13101824.65,10452711.24,0,132550265.1,1177359.74,24398.28,89718817.53,134258878.8,306379.25,-8491245.05,17155907.14,37201829.37,11625472.94,7405615.08,34978930.77,121845832.6,410081.62,79944217.82,314768289.9,8300423.72,163040258.9,6304108.1,50303654.02,-692632.72,71643794.1,314461910.7,12859346.18,142074575.5,0,-2513181.3,-27303821.46,-258828.5,-12792.24,-439867.65,-1933068.33,-7147369.84,-5733045.1,0,0,21287.08,437660.86,-120207.44,-251380.31,1588850.55,-1171984.52,41935381.52,10946394.24,-988378.64,-716757.9,-2902366.68,-2902366.68,-29817002.76,-2630745.94,9.631341786,3.570969965,1.549239727,0.359944447,0.636045192,1.767064882,,91396464.78,386412084,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01 00:00:00,226274191.8,-4283574.07,399116399.2,177125781.5,221990617.7,91955941.7,69449428.39,8902435.51,2044439.05,9918584.46,118254.02,9669487.26,14576342.21,10206380.58,0,133378025.7,1174305.45,24390.82,89718817.53,134896001.7,305249.29,-5052071.6,16892723.19,38334889.54,11625472.94,7401091.17,34978930.77,121845832.6,151420.14,83758364.97,315358034.2,13711583.64,163414197.8,10946874.56,52911231.75,4984766.88,70046781.33,315052784.9,9669487.26,142448513,0,-2932044.85,-31881644.51,-301848.53,-14985.7,-356368.38,-1957892.13,-8165724.77,-6369484.9,0,0,21713.3,439995.93,-126719.92,-251380.31,1714626.37,-1171984.52,47070168.85,11084494.97,-2431022.79,-2114188.56,-4283574.07,-4283574.07,-34813689.36,-3966739.84,6.108584331,2.249713383,0.705205723,0.356909697,0.641687088,1.797897602,,93367416.49,385404815.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01 00:00:00,226274191.8,958749.2,405927687.4,178694746.4,227232941,89980158.39,69449428.39,19728171.84,3313785.35,12010737.04,131220.94,2370803.54,15842909.34,10091861.61,0,133626330.1,1156349.84,24577.4,89718817.53,135798500.5,305187.37,-5706094.12,16878008.19,40925084.92,11625472.94,6716073.06,34978930.77,121845832.6,84478.02,92297194,313630493.4,14392764.78,164301981.6,23041957.19,56767994.26,6435863.86,77904429.22,313325306,2370803.54,142599051.6,0,-3339240.7,-37411236.68,-344886.51,-17180.95,-1298314.6,-2013819.48,-9508004.57,-8144266.15,0,0,22107.11,467282.82,-697315.71,-1709844.03,1758705.21,1219046.39,61975717.05,22444286.06,3781493.35,4143560.81,958749.2,958749.2,-40750477.38,1320816.66,6.41274942,2.468545848,0.164721899,0.35129176,0.627545685,1.78639455,,86397552.4,391534922.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01 00:00:00,226274191.8,1456022.32,420587972.3,192857758.2,227730214.1,89799777.06,69449428.39,24238303.94,4462417.28,18828798.21,132092.57,5780960.52,15890444.49,9940320.84,0,133650326.3,1158906.28,73947.23,89718817.53,142696946.7,304294.4,-5110417.89,16762505.98,46728362.72,11625472.94,6724218.69,34978930.77,121845832.6,39234.76,107114757,313473215.3,21772832.62,171084925.6,28700721.22,62618807.21,13850472.89,85341924.4,313168920.9,5780960.52,149460400.1,0,-3746436.55,-45334327.02,-387729.47,-19376.2,-1549223.37,-2022578.9,-10477456.82,-9391737.39,0,0,28508.41,427921,-697315.71,-1709844.03,2406693.58,1229946.2,72698978.59,24848161.22,4571395.18,4978500.85,1456022.32,1456022.32,-49080763.57,1863127.99,4.919651884,2.043645427,0.26551256,0.355360614,0.656304657,1.846869437,,85743001.19,398815139.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01 00:00:00,226274191.8,-2851242.87,422855552.9,199432604,223422948.9,89570537.81,69449428.39,21564295.07,4170039.23,24997934.07,0,1739858.77,19980303.95,9846560.18,0,133444705.4,1279123.64,75270.12,89718817.53,144711751.9,372718.99,-6789483.15,16752287.72,52372445.81,11625472.94,6725736.53,34978930.77,121845832.6,129780.32,109748773.1,313106779.8,26343091.41,173089512.6,25734334.3,72352749.76,18208450.92,83405681.72,312734060.8,1739858.77,151567268.8,0,-4153632.4,-48083591.38,-430607.49,-21571.45,-3737166.73,-2041888.82,-11491204.42,-10173220.08,0,0,29953.66,328059.95,-698234.03,-1709844.03,2549731.28,1329660.37,75452312.66,24544749.25,2569799.03,3021977.97,-2851242.91,-2851242.91,-52237223.78,-2399063.97,4.166131128,1.419576115,0.066046112,0.358437456,0.6783872,1.892623631,,89683830.84,396512461.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
